major (origin),major2 (disambiguated),ID
交通设备与控制工程（中白联合培养）,交通运输工程,823
交通运输,交通运输工程,823
交通运输（民航电子电气工程）,交通运输工程,823
交通运输（民航机务工程）,交通运输工程,823
交通运输（民航运输管理）,交通运输工程,823
交通运输（机场运行与管理）,交通运输工程,823
交通运输（空中交通管制与签派）,交通运输工程,823
交通运输(城市轨道交通方向),交通运输工程,823
交通运输类,交通运输工程,823
交通运输类（汉）,交通运输工程,823
交通运输类（民）,交通运输工程,823
交通运输类（汽车学院）,交通运输工程,823
交通运输类(茅以升学院),交通运输工程,823
交通运输类（经管学院）,交通运输工程,823
交通运输类（藏）,交通运输工程,823
交通运输类(藏),交通运输工程,823
交通管理,交通运输工程,823
宇航与机电类,航空宇航科学与技术,825
宇航与机电类(民族班),航空宇航科学与技术,825
宇航与机电类(国家专项),航空宇航科学与技术,825
安全工程,矿业工程,819
安全工程(民族班),矿业工程,819
安全工程(交通安全与信息技术),矿业工程,819
安全工程（安全检测技术）,矿业工程,819
安全工程(定向),矿业工程,819
安全工程（定向）,矿业工程,819
安全科学与工程类,矿业工程,819
安全科学与工程类(中外合作办学),矿业工程,819
农业水利工程,农业工程,828
农业电气化,农业工程,828
农业机械化及其自动化,农业工程,828
农业机械化及其自动化（本硕博班）,农业工程,828
农业经济管理类,农林经济管理,1203
农业经济管理类（民考汉）,农林经济管理,1203
农业经济管理类（国家专项）,农林经济管理,1203
农业资源与环境,农业资源与环境,903
农业资源与环境（中加合作班）,农业资源与环境,903
农业资源与环境（本硕博班）,农业资源与环境,903
农村区域发展,应用经济学,202
农村区域发展（国家专项计划）,应用经济学,202
农林经济管理,农林经济管理,1203
农林经济管理 ,农林经济管理,1203
农林经济管理（文史）,农林经济管理,1203
农林经济管理（本硕博班）,农林经济管理,1203
农林经济管理（理工）,农林经济管理,1203
农林经济管理（梁希实验班）,农林经济管理,1203
农学,作物学;园艺学;农业资源与环境;植物保护;畜牧学;兽医学;林学;水产,901;902;903;904;905;906;907;908
农学（本硕博班）,植物保护,904
设计学类,艺术学,504
设计学类 ,艺术学,504
设计学类(工业设计),艺术学,504
设计学类（工业设计）,艺术学,504
设计学类（工业设计）（国家专项）,艺术学,504
设计学类（加权成绩）,艺术学,504
设计学类(加权成绩),艺术学,504
设计学类（产品设计、数字媒体艺术）（美术类统考成绩）,艺术学,504
设施农业科学与工程,农业工程,828
戏剧影视文学,艺术学,504
戏剧影视导演,艺术学,504
运动人体科学,体育学,403
运动人体科学      ,体育学,403
运动康复,临床医学,1002
运动康复     ,临床医学,1002
投资学,理论经济学;应用经济学,201;202
护理(三校高职),临床医学,1002
护理学,临床医学,1002
护理学 ,临床医学,1002
护理学（文史）,临床医学,1002
护理学(南单理）,临床医学,1002
护理学（理工）,临床医学,1002
劳动与社会保障,公共管理,1204
劳动与社会保障（双语类）,公共管理,1204
劳动与社会保障（单列）,公共管理,1204
劳动与社会保障（单列类）,公共管理,1204
劳动与社会保障（普通类）,公共管理,1204
克罗地亚语,外国语言文学,502
材料化学,材料科学与工程,805
材料化学 ,材料科学与工程,805
材料化学（稀土材料）,材料科学与工程,805
材料成型及控制工程,材料科学与工程,805
材料成型及控制工程（中白联合培养）,材料科学与工程,805
材料成型及控制工程(双语类),材料科学与工程,805
材料成型及控制工程(汉),材料科学与工程,805
材料成型及控制工程（汉）,材料科学与工程,805
材料成型及控制工程（民）,材料科学与工程,805
材料成型及控制工程(民),材料科学与工程,805
材料成型及控制工程（材料卓越计划实验班）,材料科学与工程,805
材料成型及控制工程（单列）,材料科学与工程,805
材料成型及控制工程（普通类）,材料科学与工程,805
材料物理,材料科学与工程,805
材料学,材料科学与工程,805
材料科学与工程,材料科学与工程,805
材料科学与工程#E,材料科学与工程,805
材料科学与工程（少）,材料科学与工程,805
材料科学与工程（双语类）,材料科学与工程,805
材料科学与工程（汉）,材料科学与工程,805
材料科学与工程(材料类),材料科学与工程,805
材料科学与工程（国家专项）,材料科学与工程,805
材料科学与工程（单列）,材料科学与工程,805
材料科学与工程（按材料类招生）,材料科学与工程,805
材料科学与工程（高校专项）,材料科学与工程,805
材料科学与工程（普通类）,材料科学与工程,805
材料科学与工程(藏),材料科学与工程,805
材料科学与技术类,林业工程,829
材料类,材料科学与工程,805
材料类 ,材料科学与工程,805
材料类（中外合作办学）,材料科学与工程,805
材料类（中外合作办学）（材料科学与工程）,材料科学与工程,805
材料类（中外合作办学）（材料科学与工程专业）,材料科学与工程,805
材料类(先进材料及绿色制造),材料科学与工程,805
材料类（材料科学与工程）,材料科学与工程,805
材料类(材料科学与工程、高分子材料与工程、材料物理、新能源材料与,材料科学与工程,805
材料类（材料科学与工程、高分子材料与工程、材料物理、新能源材料与器件）,材料科学与工程,805
材料类(材料科学与工程、高分子材料与工程、材料物理、新能源材料与器件),材料科学与工程,805
材料类（材料科学与技术）,材料科学与工程,805
材料类(材料科学与技术),材料科学与工程,805
材料类(含无机非金属材料工程、高分子材料与工程、复合材料与工程、新能源材料与器件专业),材料科学与工程,805
材料类(茅以升学院),材料科学与工程,805
材料类（国家专项）,材料科学与工程,805
材料类（特种功能先进材料及全周期绿色设计与制造）,材料科学与工程,805
材料理科,材料科学与工程,805
医学技术类,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学实验技术（医学科学实验班）,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学信息工程,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学院,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学检验技术,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学检验技术 ,基础医学;临床医学;口腔医学;公共卫生与预防医学;中医学;中西医结合;药学,1001;1002;1003;1004;1005;1006;1007
医学影像学,临床医学,1002
医学影像学(五年),临床医学,1002
医学影像学（五年制）,临床医学,1002
医学影像学（国家贫困专项）,临床医学,1002
园艺,园艺学,902
园艺（中加合作班）,园艺学,902
园艺（本硕博班）,园艺学,902
园艺(观赏园艺),林学,907
园艺（观赏园艺方向）,林学,907
园艺（国家专项计划）,园艺学,902
园林,林学,907
园林（国家专项计划）,林学,907
邮政工程,土木工程,814
邮政工程(互联网与智慧物流),土木工程,814
邮政管理,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
邮政管理(互联网与智慧物流),"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
财务管理,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
财务管理（双语实验班）,工商管理,1202
财务管理科,工商管理,1202
财政学,应用经济学,202
财政学（民）,应用经济学,202
财政学（单列类）,应用经济学,202
财政学类,应用经济学,202
财政学类（国家专项）,应用经济学,202
兵器类,兵器科学与技术,826
兵器类（国家专项）,兵器科学与技术,826
体育学类,体育学,403
体育经济与管理,体育学,403
体育经济与管理     ,体育学,403
体育教育,体育学,403
体育教育(师范),体育学,403
作曲与作曲技术理论,艺术学,504
应用气象学,大气科学,706
应用化学,化学工程与技术,817
应用化学 ,化学工程与技术,817
应用化学(含化学、应用化学、材料化学),化学工程与技术,817
应用化学（含化学、应用化学、材料化学专业）,化学工程与技术,817
应用化学（张大煜化学菁英班）,化学工程与技术,817
应用化学（张大煜化学菁英班）（理学）,化学工程与技术,817
应用化学（理学）,化学工程与技术,817
应用化学-优培计划,化学工程与技术,817
应用心理学,心理学,402
应用心理学      ,心理学,402
应用心理学（文史）,心理学,402
应用心理学（汉）,心理学,402
应用心理学（理工）,心理学,402
应用物理学,物理学,702
应用物理学 ,物理学,702
应用物理学（王大珩物理科学班）,化学,703
应用物理学（能源科学方向）,化学,703
应用语言学,中国语言文学,501
应用统计学,应用经济学,202
应用统计学（中外合作办学）,应用经济学,202
应用统计学（中外合作办学）  （风险和精算）,应用经济学,202
应用统计学（风险和精算）,应用经济学,202
应用理科(拔尖人才试点班),数学,701
应用数学与统计类,数学,701
冶金工程,冶金工程,806
汽车服务工程,机械工程,802
社会工作,社会学,303
社会工作(专项文）,社会学,303
社会工作（南疆计划）,社会学,303
社会工作（蒙授）,社会学,303
社会体育指导与管理,体育学,403
社会学,社会学,303
社会学 ,社会学,303
社会学（双语类）,社会学,303
社会学（社会管理）,社会学,303
社会学（单列类）,社会学,303
社会学（定向）,社会学,303
社会学(定向),社会学,303
社会学（普通类）,社会学,303
社会学类,社会学,303
社会学类（人文社科类）,体育学,403
社会学类（中外合作办学）,社会学,303
社会学类（中外合作办学）社会工作,社会学,303
社会学类（代表人文社科类）,体育学,403
社会学类(含社会学、社会工作),社会学,303
社会学类（国家专项）,社会学,303
社会科学试验班,社会学,303
社会科学试验班（国家专项）,社会学,303
社会科学试验班（经济类）,社会学,303
社会科学试验班(信息管理类),社会学,303
社会科学试验班（管理学科类）,社会学,303
社会科学试验班（管理学科类，国家专项）,社会学,303
社会科学试验班（管理类）,社会学,303
社会科学试验班（精品文科班）,社会学,303
社会科学试验班(精品文科班),社会学,303
阿拉伯语,外国语言文学,502
阿拉伯语（文史）,外国语言文学,502
阿拉伯语（理工）,外国语言文学,502
纺织工程,纺织科学与工程,821
纺织工程（双语类）,纺织科学与工程,821
纺织工程（定向）（单列）,纺织科学与工程,821
纺织工程（普通类）,纺织科学与工程,821
纺织类,纺织科学与工程,821
纺织类（国家专项计划）,纺织科学与工程,821
环境工程,环境科学与工程,830
环境工程 ,环境科学与工程,830
环境工程#E,环境科学与工程,830
环境工程(专项理）,环境科学与工程,830
环境工程(环境科学与工程类),环境科学与工程,830
环境工程（国家贫困专项）,环境科学与工程,830
环境工程（按环境科学与工程类招生）,环境科学与工程,830
环境工程(按环境科学与工程类培养),环境科学与工程,830
环境工程（按环境科学与工程类培养）,环境科学与工程,830
环境工程（闽台合作项目）,环境科学与工程,830
环境工程(菁英班),环境科学与工程,830
环境生态工程,环境科学与工程,830
环境设计,环境科学与工程,830
环境科学,环境科学与工程,830
环境科学（双语类）,环境科学与工程,830
环境科学（含环境科学专业、环境工程专业、环境生态学）,环境科学与工程,830
环境科学（单列）,环境科学与工程,830
环境科学（单列类）,环境科学与工程,830
环境科学（普通类）,环境科学与工程,830
环境科学与 ?工程类,环境科学与工程,830
环境科学与工程,环境科学与工程,830
环境科学与工程类,环境科学与工程,830
环境科学与工程类 ,环境科学与工程,830
环境科学与工程类(地球科学与环境类),环境科学与工程,830
环境科学与工程类(含环境工程、安全工程专业),环境科学与工程,830
环境科学与工程类(含环境科学、环境工程),环境科学与工程,830
环境科学与工程类（含环境科学专业、环境工程专业、环境生态工程）,环境科学与工程,830
环境科学与工程类（环境工程、环境生态工程）,环境科学与工程,830
环境科学与工程类(环境工程、环境科学),环境科学与工程,830
环境科学与工程类(环境地球科学类),环境科学与工程,830
环境科学与工程类（环境科学、环境工程、环境生态工程）,环境科学与工程,830
环境科学与工程类（国家专项计划）,环境科学与工程,830
表演,艺术学,504
英语,外国语言文学,502
英语 ,外国语言文学,502
英语（121项目）,外国语言文学,502
英语(专项文）,外国语言文学,502
英语(专项理）,外国语言文学,502
英语(中加),外国语言文学,502
英语(中美合作1+2+1),外国语言文学,502
英语（公费师范）,外国语言文学,502
英语（文）,外国语言文学,502
英语（文史）,外国语言文学,502
英语（文科）,外国语言文学,502
英语(双外语),外国语言文学,502
英语（外语要求不低于115分）,外国语言文学,502
英语(汉),外国语言文学,502
英语（汉）,外国语言文学,502
英语（民）,外国语言文学,502
英语(民),外国语言文学,502
英语（民航业务、国际贸易）,外国语言文学,502
英语(师范),外国语言文学,502
英语（师范）,外国语言文学,502
英语（师范类）,外国语言文学,502
英语（含翻译专业）,外国语言文学,502
英语（免费师范）,外国语言文学,502
英语（招英语考生）（按外国语言文学类培养）,外国语言文学,502
英语(英日),外国语言文学,502
英语（英日）,外国语言文学,502
英语(英语类),外国语言文学,502
英语（国际贸易）,外国语言文学,502
英语（国家专项）,外国语言文学,502
英语（国家专项计划）,外国语言文学,502
英语（国家贫困专项）,外国语言文学,502
英语（单列）,外国语言文学,502
英语（单列类）,外国语言文学,502
英语（宝山校区）,外国语言文学,502
英语(按外国语言文学类培养),外国语言文学,502
英语（按外国语言文学类培养）,外国语言文学,502
英语(南单文）,外国语言文学,502
英语(南单理）,外国语言文学,502
英语（高校专项）,外国语言文学,502
英语（涉外法商）,外国语言文学,502
英语（预科）,外国语言文学,502
英语（理）,外国语言文学,502
英语（理工）,外国语言文学,502
英语（教育）,外国语言文学,502
英语(商务),外国语言文学,502
英语（商务）,外国语言文学,502
英语(商务英语),外国语言文学,502
英语（商务英语),外国语言文学,502
英语（商务英语）,外国语言文学,502
英语（普通类）,外国语言文学,502
英语（零起点）,外国语言文学,502
英语(零起点),外国语言文学,502
英语（翻译方向）,外国语言文学,502
英语【英语、翻译】,外国语言文学,502
英语类,外国语言文学,502
林业工程类,林业工程,829
林业工程类(成栋班),林业工程,829
林产化工,林业工程,829
林学,林学,907
林学类,林学,907
林学类(成栋实验班),林学,907
林学类（含林学、森林保护专业）,林学,907
矿业类,矿业工程,819
矿物加工工程,矿业工程,819
矿物加工工程 ,矿业工程,819
矿物加工工程（地矿）,矿业工程,819
矿物加工工程（地矿专业）,矿业工程,819
矿物加工工程(地矿专业),矿业工程,819
矿物加工工程（宝玉石学）,矿业工程,819
矿物加工工程(提前批),矿业工程,819
矿物加工工程（提前批）,矿业工程,819
矿物加工工程??,矿业工程,819
矿物资源工程,矿业工程,819
轮机工程（陆上专业）,船舶与海洋工程,824
软件工程,计算机科学与技术,812
软件工程（中外合作办学 中爱）,计算机科学与技术,812
软件工程（中外合作办学）,计算机科学与技术,812
软件工程(中外合作办学),计算机科学与技术,812
软件工程（双语类）,计算机科学与技术,812
软件工程（含网络工程专业）,计算机科学与技术,812
软件工程（含软件工程、数字媒体技术）,计算机科学与技术,812
软件工程(软件工程类),计算机科学与技术,812
软件工程（单列）,计算机科学与技术,812
软件工程（单列类）,计算机科学与技术,812
软件工程(定向),计算机科学与技术,812
软件工程（移动互联网方向）,计算机科学与技术,812
软件工程（厦门大学马来西亚分校）,计算机科学与技术,812
软件工程（嵌入式培养）,计算机科学与技术,812
软件工程(嵌入式培养),计算机科学与技术,812
软件工程（普通类）,计算机科学与技术,812
软件工程【软件工程、网络工程】,计算机科学与技术,812
软件工程专业（中外合作办学）,计算机科学与技术,812
非织造材料与工程,纺织科学与工程,821
国民经济管理,应用经济学,202
国民经济管理（中外合作办学）,应用经济学,202
国际事务与国际关系,政治学,302
国际经济与贸易,应用经济学,202
国际经济与贸易（五年）,应用经济学,202
国际经济与贸易（日语）,应用经济学,202
国际经济与贸易（中外合作办学）,应用经济学,202
国际经济与贸易（文）,应用经济学,202
国际经济与贸易（文史）,应用经济学,202
国际经济与贸易（文科）,应用经济学,202
国际经济与贸易（双语实验班）,应用经济学,202
国际经济与贸易(民),应用经济学,202
国际经济与贸易（国际金融与投资）,应用经济学,202
国际经济与贸易（单列类）,应用经济学,202
国际经济与贸易（理）,应用经济学,202
国际经济与贸易（理工）,应用经济学,202
国际经济与贸易（瀚德实验1班）德语,应用经济学,202
国际经济与贸易（瀚德实验1班德语，仅招有专业志愿考生）,应用经济学,202
国际经济与贸易(瀚德实验1班德语，仅招有专业志愿考生),应用经济学,202
国际经济与贸易（瀚德实验1班德语，招有专业志愿考生）,应用经济学,202
国际经济与贸易（瀚德实验2班）葡萄牙语,应用经济学,202
国际经济与贸易（瀚德实验2班葡萄牙语，仅招有专业志愿考生）,应用经济学,202
国际经济与贸易（瀚德实验班1班）德语,应用经济学,202
国际经济与贸易（瀚德实验班2班葡萄牙语，仅招有专业志愿考生）,应用经济学,202
国际政治,政治学,302
国际政治（双语类）,政治学,302
国际政治（民考汉）,政治学,302
国际政治（国家专项）,政治学,302
国际政治（单列）,政治学,302
国际政治（单列类）,政治学,302
国际政治（普通类）,政治学,302
国际商务,政治学,302
国际商务（中外合作办学）,应用经济学,202
国际商务（双语实验班）,应用经济学,202
国际商务（外语二学位）,应用经济学,202
国际商务（全英文科教学）,应用经济学,202
国际商务(全英文科教学),应用经济学,202
国际商务（厦门大学马来西亚分校）,应用经济学,202
国际商务（德语与德语国家研究）,应用经济学,202
国家专项|机械类,机械工程,802
国家专项|光电信息科学与工程,测绘科学与技术,816
国家专项|自动化,农业工程,828
国家专项|英语,外国语言文学,502
国家专项|数学类,数学,701
国家专项|管理科学与工程类,材料科学与工程,805
制药工程,药学,1007
制药工程 ,药学,1007
制药工程（少）,药学,1007
制药工程(民族班),药学,1007
知识产权,法学,301
知识产权 ,法学,301
知识产权（卓越人才实验班）,法学,301
物化生组,化学工程与技术,817
物流工程,公共管理,1204
物流管理,公共管理,1204
物流管理（文史）,公共管理,1204
物流管理（双语类）,公共管理,1204
物流管理（民）,公共管理,1204
物流管理（物流系统工程）,公共管理,1204
物流管理（单列类）,公共管理,1204
物流管理（定向）,公共管理,1204
物流管理(定向),公共管理,1204
物流管理（闽台合作）,公共管理,1204
物流管理(闽台合作),公共管理,1204
物流管理（理工）,公共管理,1204
物流管理（普通类）,公共管理,1204
物流管理（管理学创新实验班）,公共管理,1204
物流管理与工程类,公共管理,1204
物流管理科,公共管理,1204
物理学,物理学,702
物理学（公费师范）,物理学,702
物理学（双语类）,物理学,702
物理学（协同创新实验班）,物理学,702
物理学（师范）,物理学,702
物理学(师范),物理学,702
物理学（严济慈物理学英才班）,物理学,702
物理学（免费师范）,物理学,702
物理学（单列类）,物理学,702
物理学（预科）,物理学,702
物理学(基地班),物理学,702
物理学（基地班）,物理学,702
物理学（基础学科拔尖人才培养实验班）,物理学,702
物理学（普通类）,物理学,702
物理学类,物理学,702
物理学类 ,物理学,702
物理学类(含应用物理学、光电信息科学与工程专业),物理学,702
物理学类（应用物理学、物理学、电子信息科学与技术）,物理学,702
物理学类（物理学、应用物理学）,物理学,702
物理学类(物理学、应用物理学),物理学,702
物理学类(物理学、应用物理学) ,物理学,702
物理学类（按光电技术与物理类培养）,物理学,702
物理菁英班,物理学,702
物理菁英班（国家专项）,物理学,702
物联网工程,信息与通讯工程,810
物联网工程（中外合作办学）,信息与通讯工程,810
物联网工程(汉),信息与通讯工程,810
物联网工程（汉）,信息与通讯工程,810
物联网工程（民）,信息与通讯工程,810
物联网工程(民),信息与通讯工程,810
物联网工程（单列四年）,信息与通讯工程,810
物联网工程（单列类）,信息与通讯工程,810
物联网工程（普通类）,信息与通讯工程,810
侦查学（刑事侦查）,军队指挥学,1105
侦查学（经济侦查）,军队指挥学,1105
质量管理工程,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
金属材料工程,材料科学与工程,805
金属材料工程（日语强化）,材料科学与工程,805
金融工程,冶金工程,806
金融学,应用经济学,202
金融学  (  国际金融  ),应用经济学,202
金融学  (  金融经济  ),应用经济学,202
金融学  (  金融科技  ),应用经济学,202
金融学（121项目）,应用经济学,202
金融学(专项理）,应用经济学,202
金融学（五年）,应用经济学,202
金融学（中外合作办学）,应用经济学,202
金融学（中外合作办学类）,应用经济学,202
金融学(中美校际交流),应用经济学,202
金融学（双语实验班）,应用经济学,202
金融学（双语类）,应用经济学,202
金融学（双培计划）,应用经济学,202
金融学(含国际化班),应用经济学,202
金融学（证券与期货方向）,应用经济学,202
金融学（国际组织与全球治理）,应用经济学,202
金融学（国家贫困专项）,应用经济学,202
金融学（金融工程）,应用经济学,202
金融学（金融科技）,应用经济学,202
金融学（单列）,应用经济学,202
金融学（单列类）,应用经济学,202
金融学(定向),应用经济学,202
金融学（俄语与俄语国家研究）,应用经济学,202
金融学（厦门大学与爱尔兰都柏林商学院合作举办）,应用经济学,202
金融学（厦门大学马来西亚分校）,应用经济学,202
金融学（普通类）,应用经济学,202
金融学（数量金融）,应用经济学,202
金融学类,应用经济学,202
金融学类（中外合作办学,应用经济学,202
金融学类（中外合作办学）,应用经济学,202
金融学类(中外合作办学)(金融学)(亚澳),应用经济学,202
金融学类(中外合作办学)（金融学）（亚澳商学院）,应用经济学,202
金融学类（中外合作办学））,应用经济学,202
金融学类（文）,应用经济学,202
金融学类(弘毅学堂数理经济与数理金融试验班),应用经济学,202
金融学类（含:金融学）,应用经济学,202
金融学类（国家专项）,应用经济学,202
金融学类（金融学）,应用经济学,202
金融学类(金融学、保险学),应用经济学,202
金融学类（金融学、保险学）,应用经济学,202
金融学类(金融学、保险学) ,应用经济学,202
金融学类（经济学）,应用经济学,202
金融学类（高校专项）,应用经济学,202
金融学类（理）,应用经济学,202
金融学类（厦门大学与爱尔兰都柏林商学院合作举办）,应用经济学,202
金融学类(数理经济与数理金融试验班),应用经济学,202
金融类,应用经济学,202
金融数学,应用经济学,202
金融数学(中美校际交流),应用经济学,202
采矿工程,矿业工程,819
采矿工程（双语类）,矿业工程,819
采矿工程（地矿）,矿业工程,819
采矿工程(地矿专业),矿业工程,819
采矿工程（地矿专业）,矿业工程,819
采矿工程（单列）,矿业工程,819
采矿工程(提前批),矿业工程,819
采矿工程（提前批）,矿业工程,819
采矿工程（普通类）,矿业工程,819
服装与服饰设计,纺织科学与工程,821
服装与服饰设计（双语类）,纺织科学与工程,821
服装与服饰设计（单列）,纺织科学与工程,821
服装与服饰设计（普通类）,纺织科学与工程,821
服装设计与工程,纺织科学与工程,821
服装设计与工程（双语类）,纺织科学与工程,821
服装设计与工程（普通类）,纺织科学与工程,821
服装设计与工程（普通类/工）,纺织科学与工程,821
法医学,基础医学,1001
法医学（五年制）,基础医学,1001
法学,法学,301
法学 ,法学,301
法学(专项文）,法学,301
法学（文）,法学,301
法学（文科）,法学,301
法学（双语类）,法学,301
法学（本硕贯通卓越法律人才实验班）,法学,301
法学（汉）,法学,301
法学（民考汉）,法学,301
法学（民商法律）,法学,301
法学（刑事法律）,法学,301
法学（沪港合作涉外卓越法律人才实验班）,法学,301
法学（沪港交流涉外卓越法律人才实验班）,法学,301
法学（卓越实验班）,法学,301
法学（国际经济法）,法学,301
法学（国家专项）,法学,301
法学（国家贫困专项）,法学,301
法学(知识产权),法学,301
法学（单列）,法学,301
法学（单列类）,法学,301
法学（法学与会计学双学位班）,法学,301
法学（经济法）,法学,301
法学(经济法）,法学,301
法学(南单文）,法学,301
法学（南疆计划）,法学,301
法学（高校专项）,法学,301
法学（涉外卓越国际金融法律人才实验班）,法学,301
法学（涉外卓越商事法律人才实验班）,法学,301
法学(涉外法律方向),法学,301
法学（理）,法学,301
法学（普通类）,法学,301
法学（蒙授）,法学,301
法学（藏）,法学,301
法学（瀚德实验1班）西班牙语,法学,301
法学（瀚德实验1班西班牙语，仅招有专业志愿考生）,法学,301
法学（瀚德实验1班西班牙语仅，招有专业志愿考生）,法学,301
法学（瀚德实验2班）法语,法学,301
法学（瀚德实验2班法语，仅招有专业志愿考生）,法学,301
法学（瀚德实验班1班）西班牙语,法学,301
法学（瀚德实验班2班法语，仅招有专业志愿考生）,法学,301
法学类,法学,301
法学类（卓越人才实验班）,法学,301
法学类（卓越法律人才实验班）,法学,301
法学类(卓越法律人才实验班）,法学,301
法学类（法学）,法学,301
法学类(法学、社会学),法学,301
法学类（法学、知识产权）,法学,301
法学类(法学、知识产权),法学,301
法律（民商法律）,法学,301
法语,外国语言文学,502
法语（中外合作办学）,外国语言文学,502
法语（国际关系）,外国语言文学,502
油气储运工程,石油与天然气工程,820
油气储运工程(面向泉州),石油与天然气工程,820
油气储运工程（面向泉州）,石油与天然气工程,820
波兰语,外国语言文学,502
波斯语,外国语言文学,502
治安学,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
学前教育,教育学,401
学前教育（仅招有专业志愿考生）,教育学,401
学前教育（仅招有专业志愿报考考生）,教育学,401
学前教育（公费师范生，仅招有专业志愿考生）,教育学,401
学前教育(师范),教育学,401
学前教育（师范）,教育学,401
学前教育（师范类),教育学,401
学前教育（师范类）,教育学,401
学前教育（免费师范）,教育学,401
学前教育（预科）,教育学,401
学前教育类,教育学,401
宝石及材料工艺学,材料科学与工程,805
审计学,应用经济学,202
空间电子信息类,地球物理学,708
空间科学与技术,航空宇航科学与技术,825
空间信息与数字技术,地质资源与地质工程,818
房地产开发与管理,公共管理,1204
视觉传达设计,艺术学,504
视觉传达设计(双语类),艺术学,504
视觉传达设计（单列）,艺术学,504
视觉传达设计（普通类）,艺术学,504
建筑电气与智能化,农业工程,828
建筑电气与智能化(汉),农业工程,828
建筑电气与智能化(民),农业工程,828
建筑电气与智能化（民）,农业工程,828
建筑电气与智能化（单列四年）,农业工程,828
建筑电气与智能化（定向）,农业工程,828
建筑电气与智能化(定向),农业工程,828
建筑电气与智能化（普通类）,农业工程,828
建筑环境与能源应用工程,农业工程,828
建筑环境与能源应用工程（双语类）,农业工程,828
建筑环境与能源应用工程（单列）,农业工程,828
建筑环境与能源应用工程（普通类）,农业工程,828
建筑学,建筑学,813
建筑学(五年),建筑学,813
建筑学（双语类）,建筑学,813
建筑学（单列类）,建筑学,813
建筑学（普通类）,建筑学,813
建筑类,建筑学,813
建筑类（五年制）,建筑学,813
经济,理论经济学;应用经济学,201;202
经济与金融,理论经济学;应用经济学,201;202
经济与贸易类,理论经济学;应用经济学,201;202
经济与贸易类（中外合作办学）,理论经济学;应用经济学,201;202
经济与贸易类（中外合作办学））,理论经济学;应用经济学,201;202
经济与贸易类（汉）,理论经济学;应用经济学,201;202
经济与贸易类（含国际经济与贸易）,理论经济学;应用经济学,201;202
经济与贸易类（国际经济与贸易）,应用经济学,202
经济与贸易类（国际经济与贸易、金融学）,应用经济学,202
经济与贸易类（藏）,理论经济学;应用经济学,201;202
经济学,理论经济学;应用经济学,201;202
经济学（中外合作办学）,理论经济学;应用经济学,201;202
经济学(中外合作办学),理论经济学;应用经济学,201;202
经济学（文）,理论经济学;应用经济学,201;202
经济学（双语类）,理论经济学;应用经济学,201;202
经济学（创新实验班）,理论经济学;应用经济学,201;202
经济学（国家经济学基础人才培养基地班）,应用经济学,202
经济学（单列）,理论经济学;应用经济学,201;202
经济学（单列类）,理论经济学;应用经济学,201;202
经济学(实验班),理论经济学;应用经济学,201;202
经济学（实验班）,理论经济学;应用经济学,201;202
经济学(实验班）,理论经济学;应用经济学,201;202
经济学（理）,理论经济学,201
经济学(基地班),理论经济学;应用经济学,201;202
经济学（普通类）,理论经济学;应用经济学,201;202
经济学(数理经济实验班),理论经济学;应用经济学,201;202
经济学专业（中外合作办学）,理论经济学;应用经济学,201;202
经济学类,理论经济学;应用经济学,201;202
经济学类 ,理论经济学;应用经济学,201;202
经济学类  (  财经类）,理论经济学;应用经济学,201;202
经济学类  (  经贸类  ),理论经济学;应用经济学,201;202
经济学类  （经贸类）,理论经济学;应用经济学,201;202
经济学类(中外合作办学),理论经济学;应用经济学,201;202
经济学类(中美121双学位班，全英文科教学),理论经济学;应用经济学,201;202
"经济学类(中美联合培养121国际班,全英文科教学)",理论经济学;应用经济学,201;202
经济学类（代表经济管理类）,理论经济学;应用经济学,201;202
经济学类（民考汉）,理论经济学;应用经济学,201;202
经济学类(全英文科教学，中美121双学位班),理论经济学;应用经济学,201;202
经济学类（财经类）,理论经济学;应用经济学,201;202
经济学类(含经济学、金融学专业),理论经济学;应用经济学,201;202
经济学类（国际经济与贸易、经济学）,应用经济学,202
"经济学类(国际经济与贸易全英文科教学,中美联合培养121国际班)",应用经济学,202
经济学类（国家专项）,理论经济学;应用经济学,201;202
经济学类（国家专项计划）,理论经济学;应用经济学,201;202
经济学类(金融学、国际经济与贸易、经济学、统计学),应用经济学,202
