rank,province,category,college
4680,山西,理科,东华大学
6905,山西,理科,东华大学
7277,山西,理科,东华大学
5816,山西,理科,东华大学
7468,山西,理科,东华大学
5816,山西,理科,东华大学
5816,山西,理科,东华大学
6153,山西,理科,东华大学
6713,山西,理科,东华大学
4975,山西,理科,东华大学
4836,山西,理科,东华大学
6523,山西,理科,东华大学
4379,山西,理科,东华大学
7468,山西,理科,东华大学
5661,山西,理科,东华大学
7277,山西,理科,东华大学
4680,山西,理科,东华大学
5504,内蒙古,理科,东华大学
3537,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
4210,内蒙古,理科,东华大学
3089,内蒙古,理科,东华大学
3863,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
3467,内蒙古,理科,东华大学
3005,内蒙古,理科,东华大学
4422,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
4708,内蒙古,理科,东华大学
3307,内蒙古,理科,东华大学
3863,内蒙古,理科,东华大学
3243,内蒙古,理科,东华大学
4510,内蒙古,理科,东华大学
3089,内蒙古,理科,东华大学
2652,内蒙古,理科,东华大学
4114,内蒙古,理科,东华大学
4878,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
4611,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
4114,内蒙古,理科,东华大学
3381,内蒙古,理科,东华大学
5504,内蒙古,理科,东华大学
3620,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
2716,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
5374,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
3307,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
4803,内蒙古,理科,东华大学
2716,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
3005,内蒙古,理科,东华大学
3700,内蒙古,理科,东华大学
2652,内蒙古,理科,东华大学
2582,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
4510,内蒙古,理科,东华大学
5606,内蒙古,理科,东华大学
4803,内蒙古,理科,东华大学
5093,内蒙古,理科,东华大学
3381,内蒙古,理科,东华大学
5184,内蒙古,理科,东华大学
5093,内蒙古,理科,东华大学
2716,内蒙古,理科,东华大学
5374,内蒙古,理科,东华大学
5715,内蒙古,理科,东华大学
5184,内蒙古,理科,东华大学
2716,内蒙古,理科,东华大学
2652,内蒙古,理科,东华大学
5184,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
2777,内蒙古,理科,东华大学
4803,内蒙古,理科,东华大学
4114,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
5374,内蒙古,理科,东华大学
2582,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
3243,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
2453,内蒙古,理科,东华大学
4036,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
4036,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
4878,内蒙古,理科,东华大学
4319,内蒙古,理科,东华大学
4803,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
2716,内蒙古,理科,东华大学
3952,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
3467,内蒙古,理科,东华大学
3005,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
5374,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
3089,内蒙古,理科,东华大学
4210,内蒙古,理科,东华大学
4708,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
2582,内蒙古,理科,东华大学
4611,内蒙古,理科,东华大学
4611,内蒙古,理科,东华大学
4878,内蒙古,理科,东华大学
2453,内蒙古,理科,东华大学
3780,内蒙古,理科,东华大学
3952,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
5606,内蒙古,理科,东华大学
4611,内蒙古,理科,东华大学
3467,内蒙古,理科,东华大学
3467,内蒙古,理科,东华大学
3307,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
5093,内蒙古,理科,东华大学
3700,内蒙古,理科,东华大学
4210,内蒙古,理科,东华大学
2652,内蒙古,理科,东华大学
3780,内蒙古,理科,东华大学
3620,内蒙古,理科,东华大学
2777,内蒙古,理科,东华大学
5281,内蒙古,理科,东华大学
5606,内蒙古,理科,东华大学
3243,内蒙古,理科,东华大学
3381,内蒙古,理科,东华大学
4510,内蒙古,理科,东华大学
5504,内蒙古,理科,东华大学
3537,内蒙古,理科,东华大学
3537,内蒙古,理科,东华大学
4422,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
2652,内蒙古,理科,东华大学
3467,内蒙古,理科,东华大学
4422,内蒙古,理科,东华大学
2514,内蒙古,理科,东华大学
3175,内蒙古,理科,东华大学
4878,内蒙古,理科,东华大学
5715,内蒙古,理科,东华大学
5715,内蒙古,理科,东华大学
3700,内蒙古,理科,东华大学
527,辽宁,文科,东华大学
709,辽宁,文科,东华大学
527,辽宁,文科,东华大学
820,辽宁,文科,东华大学
960,辽宁,文科,东华大学
960,辽宁,文科,东华大学
563,辽宁,文科,东华大学
527,辽宁,文科,东华大学
820,辽宁,文科,东华大学
820,辽宁,文科,东华大学
527,辽宁,文科,东华大学
783,辽宁,文科,东华大学
563,辽宁,文科,东华大学
820,辽宁,文科,东华大学
563,辽宁,文科,东华大学
754,辽宁,文科,东华大学
1142,辽宁,文科,东华大学
920,辽宁,文科,东华大学
1004,辽宁,文科,东华大学
860,辽宁,文科,东华大学
820,辽宁,文科,东华大学
960,辽宁,文科,东华大学
1099,辽宁,文科,东华大学
820,辽宁,文科,东华大学
671,辽宁,文科,东华大学
5690,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
7650,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
5690,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
5968,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
6778,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
6444,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
7650,辽宁,理科,东华大学
5383,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7650,辽宁,理科,东华大学
8039,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
7650,辽宁,理科,东华大学
5535,辽宁,理科,东华大学
6444,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
8039,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
6778,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
5690,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
5690,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
9127,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
9127,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
7650,辽宁,理科,东华大学
5535,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
5968,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
9127,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
6778,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
6444,辽宁,理科,东华大学
9127,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
8039,辽宁,理科,东华大学
5535,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
8764,辽宁,理科,东华大学
8039,辽宁,理科,东华大学
7839,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
5236,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
6119,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
8928,辽宁,理科,东华大学
5829,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
5690,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
6962,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
6273,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
6444,辽宁,理科,东华大学
7461,辽宁,理科,东华大学
8408,辽宁,理科,东华大学
7274,辽宁,理科,东华大学
5098,辽宁,理科,东华大学
6604,辽宁,理科,东华大学
8224,辽宁,理科,东华大学
5968,辽宁,理科,东华大学
8583,辽宁,理科,东华大学
7108,辽宁,理科,东华大学
3649,吉林,理科,东华大学
4181,吉林,理科,东华大学
3808,吉林,理科,东华大学
6324,吉林,理科,东华大学
6324,吉林,理科,东华大学
4658,吉林,理科,东华大学
4181,吉林,理科,东华大学
3649,吉林,理科,东华大学
7027,吉林,理科,东华大学
3808,吉林,理科,东华大学
4852,吉林,理科,东华大学
3991,吉林,理科,东华大学
3991,吉林,理科,东华大学
5567,吉林,理科,东华大学
3991,吉林,理科,东华大学
6672,吉林,理科,东华大学
4658,吉林,理科,东华大学
5896,吉林,理科,东华大学
6549,吉林,理科,东华大学
5996,吉林,理科,东华大学
5798,吉林,理科,东华大学
5148,吉林,理科,东华大学
7027,吉林,理科,东华大学
5798,吉林,理科,东华大学
6549,吉林,理科,东华大学
4571,吉林,理科,东华大学
4464,吉林,理科,东华大学
4464,吉林,理科,东华大学
4949,吉林,理科,东华大学
5896,吉林,理科,东华大学
5236,吉林,理科,东华大学
3649,吉林,理科,东华大学
6444,吉林,理科,东华大学
5896,吉林,理科,东华大学
5567,吉林,理科,东华大学
6102,吉林,理科,东华大学
5148,吉林,理科,东华大学
4271,吉林,理科,东华大学
4852,吉林,理科,东华大学
3649,吉林,理科,东华大学
4361,吉林,理科,东华大学
6204,吉林,理科,东华大学
4181,吉林,理科,东华大学
5567,吉林,理科,东华大学
4852,吉林,理科,东华大学
3899,吉林,理科,东华大学
3732,吉林,理科,东华大学
5335,吉林,理科,东华大学
4361,吉林,理科,东华大学
4658,吉林,理科,东华大学
5335,吉林,理科,东华大学
7027,吉林,理科,东华大学
4271,吉林,理科,东华大学
5148,吉林,理科,东华大学
3649,吉林,理科,东华大学
3732,吉林,理科,东华大学
5567,吉林,理科,东华大学
4658,吉林,理科,东华大学
4181,吉林,理科,东华大学
6672,吉林,理科,东华大学
4658,吉林,理科,东华大学
7141,吉林,理科,东华大学
6204,吉林,理科,东华大学
5335,吉林,理科,东华大学
5335,吉林,理科,东华大学
3732,吉林,理科,东华大学
5671,吉林,理科,东华大学
3649,吉林,理科,东华大学
6898,吉林,理科,东华大学
4949,吉林,理科,东华大学
7141,吉林,理科,东华大学
5148,吉林,理科,东华大学
5050,吉林,理科,东华大学
5996,吉林,理科,东华大学
6204,吉林,理科,东华大学
3808,吉林,理科,东华大学
5567,吉林,理科,东华大学
6672,吉林,理科,东华大学
3732,吉林,理科,东华大学
4181,吉林,理科,东华大学
6898,吉林,理科,东华大学
4949,吉林,理科,东华大学
4852,吉林,理科,东华大学
3991,吉林,理科,东华大学
3899,吉林,理科,东华大学
4464,吉林,理科,东华大学
3991,吉林,理科,东华大学
6796,吉林,理科,东华大学
6102,吉林,理科,东华大学
5798,吉林,理科,东华大学
5996,吉林,理科,东华大学
5236,吉林,理科,东华大学
6672,吉林,理科,东华大学
5896,吉林,理科,东华大学
5671,吉林,理科,东华大学
